体验点一级分类,体验点二级分类,中文描述,体验点二级分类英文,英文描述,,,,,,,,,,,,,,,,,
组装,组装难度与时间,安装难度和时长,Assembly difficulty & Time,Installation Difficulty and Time Requirement,,,,,,,,,,,,,,,,,
,说明书质量,说明书质量，包括清晰度,Manual Quality,"Refers to the clarity, accuracy, and helpfulness of the instruction manual",,,,,,,,,,,,,,,,,
,组装部件数量,要安装的零件数量,Number of Assembly Parts,Number of Parts Required for Assembly,,,,,,,,,,,,,,,,,
,部件易识别度,产品的零件，配件是否容易识别,Part Identifiability,Whether the components and accessories of a product are easily recognizable,,,,,,,,,,,,,,,,,
功能,集成电源和充电端口,集成电源和充电口,Integrated Power and Charging Ports,built-in connectors that allow for convenient power,,,,,,,,,,,,,,,,,
,存储功能,整体的存储功能，注意不包含桌面大小，主要是抽屉和置物架,Storage Features,"Refers to built-in storage components such as drawers, shelves, or cabinets, specifically intended for organizing and storing items",,,,,,,,,,,,,,,,,
,附加特点,包括如杯架，钩子之类的辅助便利性特点,Accessory Features,"such as integrated cup holders or side hooks, which provide added convenience",,,,,,,,,,,,,,,,,
,键盘托盘,键盘托,Keyboard Tray,Keyboard Tray,,,,,,,,,,,,,,,,,
,PC主机存放,存放PC主机的空间,PC Tower Space,Refers to designated space for placing a PC tower,,,,,,,,,,,,,,,,,
,腿部空间,用户可以用来放腿的空间,Leg Room,The space available for the user to stretch or place their legs,,,,,,,,,,,,,,,,,
外观/美观,外观与风格,风格外观,Appearance & Style,visual characteristics and aesthetic presentation,,,,,,,,,,,,,,,,,
,颜色,颜色,Color,Refers to the visual appearance and aesthetic appeal of the desk's color,,,,,,,,,,,,,,,,,
稳定性,稳定性和坚固性,稳定性和坚固性,Stability & Sturdiness,Stability and Sturdiness,,,,,,,,,,,,,,,,,
质量/耐用,产品可靠性,产品可靠性，包括耐用度,Product Durability,"Refers to the long-term sturdiness and resistance of the desk to wear, damage, or malfunction over time",,,,,,,,,,,,,,,,,
,防水性,防水性,Water Resistance,product can prevent water from penetrating its surface,,,,,,,,,,,,,,,,,
,桌面厚度材质与质量,桌板的厚度和材料,Desktop Quality,Including thickness and material,,,,,,,,,,,,,,,,,
,五金件质量,零件如螺丝，小金属件的质量,Hardware Quality,"Refers to the build quality and reliability of mechanical and structural components such as screws, brackets, metal frames, and joints",,,,,,,,,,,,,,,,,
,抽屉质量,抽屉质量，包括顺滑度，耐用度,Drawers Quality,"Drawer Quality, Including Smoothness and Durability",,,,,,,,,,,,,,,,,
,预钻孔对齐情况,预钻空位对齐情况,Pilot Holes Alignment,Alignment Accuracy of Pre-drilled Holes,,,,,,,,,,,,,,,,,
,气味情况,是否有异味等,Odor,whether desk is smelly,,,,,,,,,,,,,,,,,
性价比/价格,性价比,性价比,Value for Money,Refers to the overall satisfaction with the product relative to its price,,,,,,,,,,,,,,,,,
物流/包装,发货速度,运送速度,Shipping Speed,Refers to the time taken from order placement to delivery,,,,,,,,,,,,,,,,,
,包装质量,包裹质量,Packaging Quality,The package was intact upon arrival. Damage to internal parts does not imply poor packaging.,,,,,,,,,,,,,,,,,
,产品完整性,到达时产品完整度，包括 Parts， Accessories 是否完整无缺失,Product Integrity,"Upon arrival, the completeness of product, including parts and accessories, and any damage or dedects.",,,,,,,,,,,,,,,,,
售后/客服,客户服务,客服质量，包括回复速度，回复质量等,Customer Service,"Customer service quality, including response speed and response quality",,,,,,,,,,,,,,,,,
,售后服务,售后服务，包括缺件补件等,After-sales Service,"Missing Part Replacement, etc.",,,,,,,,,,,,,,,,,
,退换货体验,退货体验,Return Difficulty,Refers to the ease and efficiency of the product return process,,,,,,,,,,,,,,,,,
线缆管理,线缆管理,线缆管理,Cable Management,"cable management features such as cable holes, organizers, or trays.",,,,,,,,,,,,,,,,,
尺寸/空间,桌面尺寸,桌面是否足够宽敞，让用户感到有足够的工作空间,Desktop Size,Desktop spaciousness and adequacy of workspace,,,,,,,,,,,,,,,,,
,桌子形状,桌子形状,Desk Shape,"desk shape, including L-shape, U-shape, etc.",,,,,,,,,,,,,,,,,
承重能力,承重能力,承重,Load Capacity,maximum weight or force that product can safely support,,,,,,,,,,,,,,,,,
其他,值得推荐,是否愿意分享给它人,Recommendation,Willingness to Recommend to Others,,,,,,,,,,,,,,,,,
,与商品图有差距,到手货和商品图不一样,Product Image/Description Mismatch,The received product is different from the product image or description.,,,,,,,,,,,,,,,,,
